top-1,top-2,top-3,top-4,top-5
78.48,84.32,87.57,88.74,89.64
78.54,85.3,87.29,87.73,88.09
78.08,84.58,86.74,87.47,88.46
77.46,84.22,86.2,86.47,87.19
78.27,84.13,86.21,87.38,87.83
1.17,1.71,2.61,2.88,3.15
0.18,0.27,0.27,0.63,0.72
0.27,0.72,0.9,1.26,1.35
0.,0.45,0.63,0.81,0.9
0.72,0.81,0.81,1.17,1.17
21.62,28.82,32.97,33.68,35.29
24.01,32.85,35.92,40.54,41.53
26.21,34.32,37.38,38.73,41.08
24.77,42.7,45.22,46.93,47.55
25.4,33.42,38.37,38.46,39.54
62.00,72.02,76.17,78.61,80.51
63.45,71.84,75.27,77.26,78.34
63.72,72.11,75.45,76.99,78.70
63.34,71.45,75.43,77.33,77.96
62.24,71.36,75.07,77.06,78.77
75.14,82.43,84.86,86.31,87.21
74.66,82.60,85.03,86.30,86.93
74.57,82.33,85.48,86.20,87.20
75.29,82.87,85.12,86.20,86.74
77.10,83.14,85.30,86.20,87.02
